speaker,filename,text,emotion
F1,F1_anger_free_01.wav,くはぁ…あんたは誰だと思っているの?名前気な態度は許せない!,anger
F1,F1_anger_free_02.wav,うわー!腹黒いなんて言うな!あなたのような人間には理解できないこともあるのよ!,anger
F1,F1_anger_free_03.wav,くああああああ意義を整えるのはもうやめろ君が悪いことをしたことは明白だ,anger
F1,F1_anger_free_04.wav,うう…なんでそんなに否定的なの?もっと現実的に考えなさいよ!,anger
F1,F1_anger_free_05.wav,かぁ…なぜいつも私を反目するんだ?何か文句があるなら言ってみろ!,anger
F1,F1_anger_free_06.wav,ギェ!こんなことになる前に、私がバンパイヤだって言ってたのに信じてくれなかったんだろ!,anger
F1,F1_anger_free_07.wav,おぉぉぉ!サブスティテューションなんてお前の能力不足の証拠だろうが!,anger
F1,F1_anger_free_08.wav,んん?この学校のエデュケーションは何だったの?何も教えてくれないじゃないか,anger
F1,F1_anger_free_09.wav,はっ、この話の脈楽が全くわからないわ。もっとちゃんと説明してよ。,anger
F1,F1_anger_free_10.wav,うーん!何度も言わなきゃわからないの?この機械を潰してしまったら自分の首を閉めることになるんだよ!,anger
F1,F1_anger_regular_01.wav,ああ、どうしてこんなにあらわらしい態度をとるんだ?落ち着いた話を聞けばいいのに。,anger
F1,F1_anger_regular_02.wav,ああ、あの問題事がまた女を起こしたって?何度注意しても改善しないんだから、もう本当に腹が立つ!,anger
F1,F1_anger_regular_03.wav,あ、戦争を望むのか?どうしてこんなに愚かなことを言えるんだ?,anger
F1,F1_anger_regular_04.wav,ああ、罪悪感を感じるのは当たり前だろ!何をやっても全く反省していないのか?,anger
F1,F1_anger_regular_05.wav,ええ、自分勝手な考え方は許せないわ。周りの人たちの気持ちを考えなさい!,anger
F1,F1_anger_regular_06.wav,えええ!非今日もの名!人を裏切るなんて、どうしてそんなにいやしいことができるんだ!,anger
F1,F1_anger_regular_07.wav,え?気取った態度を取って何がしたいの?素直に話せばいいのに,anger
F1,F1_anger_regular_08.wav,ええ、腹の立つことはわかるけど、怒りを爆発させる前に冷静に考えようよ!,anger
F1,F1_anger_regular_09.wav,おい、ぶっきら棒に話すな。もうちょっと感情込めて話してくれないと、こっちもイライラするぞ。,anger
F1,F1_anger_regular_10.wav,おい!あなたの仮質で私たちは損害を込むったんだぞ!責任を取れ!,anger
F1,F1_anger_regular_11.wav,おい失礼な態度は許されないぞ 謝罪して反省しなさい,anger
F1,F1_anger_regular_12.wav,おい、あんた防挙を働いたって何がしたいんだ?自分がやられて嫌なことは他人にもやるなんて許されることじゃないよ?,anger
F1,F1_anger_regular_13.wav,おのれ、何度も言い争いをしてばかりで何がしたいんだ?仲直りしろ!,anger
F1,F1_anger_regular_14.wav,おのれ、私たちは同僚なんだろ?なぜこんなに軽別的な態度を取るんだ?,anger
F1,F1_anger_regular_15.wav,おのれ!支援できと傷つけるなんて、ひきょうな恋だ!,anger
F1,F1_anger_regular_16.wav,おのれ、この地域は乱開発によって自然が破壊されているんだぞ!何も考えていないのか?,anger
F1,F1_anger_regular_17.wav,このあんたの過激な言動が問題なんだよ周りの人の気持ちを考えて行動しろよ,anger
F1,F1_anger_regular_18.wav,このー!どうしていつも消極的なんだ?もっと自分の意見をしっかりと主張しなさいよ!,anger
F1,F1_anger_regular_19.wav,こんなぁ! なぜあなたはいつも部屋を汚すの?もう一度やったら怒りが収まらないわよ!,anger
F1,F1_anger_regular_20.wav,このー、いくら争っても仕方がないと思わないか?分かりしなさい,anger
F1,F1_anger_regular_21.wav,コーラ!やばんな言葉使いはやめなさい!人を傷つけることに何の意味があるのか?,anger
F1,F1_anger_regular_22.wav,こーら!あなたの予想ごとに私がどうか変わるんですか?私に迷惑をかけないでください!,anger
F1,F1_anger_regular_23.wav,こら!なんでそんなにいじわるなんだよ!人を傷つけることでしか満足できないのか?,anger
F1,F1_anger_regular_24.wav,こら!こんな仕事割りに合わないって言ってたくせに!給料のことで文句を言うな!,anger
F1,F1_anger_regular_25.wav,何?あなたが問題をこじらせたのに、私が何も言わないと思うなよ?,anger
F1,F1_anger_regular_26.wav,なにこのキチクがあなたのような人間がいるから世の中が腐るんだよ,anger
F1,F1_anger_regular_27.wav,何? 卵行しているのに、まるで何も知らないかのように振る舞っているのか?,anger
F1,F1_anger_regular_28.wav,なに?こんなに汚い部屋で生活するつもりなの?早く片付けなさい!,anger
F1,F1_anger_regular_29.wav,チェ!あなたの言い分は 理不尽さしかないわ私たちは 平等に扱われるべきだ,anger
F1,F1_anger_regular_30.wav,チェ! 豪漫な態度を取るくせに、何も知らないふりをしているなんてマジでありえない!,anger
F1,F1_anger_regular_31.wav,チェ!あの人を恨む理由がないとでも思ってるの?あなたにとっては些細なことかもしれないけど、私にとっては大切なことだったんだよ!,anger
F1,F1_anger_regular_32.wav,ちっ、あなたの見勝手な行動は いつも私たちに迷惑をかけている。もう我慢できないわ。,anger
F1,F1_anger_regular_33.wav,はぁ? なぜこんなに急に解散することになったのか? 説明してくれ!,anger
F1,F1_anger_regular_34.wav,はぁ? 無駄遣いばかりして何が楽しいの? 金を大事にしろよ!,anger
F1,F1_anger_regular_35.wav,はぁ?こんなにいかがわしい商売しているとは知らなかったよ!信用していたのに!,anger
F1,F1_anger_regular_36.wav,はあ、またお説教ですか。,anger
F1,F1_anger_regular_37.wav,ふん、いい加減にしろよ。 いつもダメだしばかりで、何も褒め言葉がないんだ。,anger
F1,F1_anger_regular_38.wav,私が言いなりになると思ってるのか?バカげているわ,anger
